epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,2889.79,0.4404,0.32137,0.9998,0.98682,0.98838,0.99393,0.93103,0.40898,0.21218,0.85993,0.000412749,0.000412749,0.000412749
154,2908.62,0.43163,0.31101,0.98854,0.98915,0.98946,0.99432,0.93464,0.40863,0.21227,0.85973,0.000404498,0.000404498,0.000404498
155,2927.46,0.43087,0.32237,0.99247,0.98908,0.98946,0.99438,0.93646,0.40397,0.21217,0.85714,0.000396246,0.000396246,0.000396246
156,2946.27,0.44468,0.32371,1.00044,0.98914,0.98946,0.99409,0.93708,0.40126,0.21312,0.85452,0.000387994,0.000387994,0.000387994
157,2965.15,0.44037,0.32016,0.9908,0.98879,0.98946,0.99432,0.93509,0.41652,0.20797,0.86827,0.000379743,0.000379743,0.000379743
158,2983.92,0.44292,0.3133,0.99844,0.98918,0.98946,0.9941,0.93393,0.41557,0.21157,0.8691,0.000371491,0.000371491,0.000371491
159,3002.7,0.43687,0.31397,0.99844,0.99061,0.98877,0.99384,0.93493,0.4118,0.21297,0.86484,0.000363239,0.000363239,0.000363239
160,3021.5,0.44035,0.324,0.99617,0.99034,0.98935,0.99407,0.93458,0.41943,0.21007,0.87477,0.000354988,0.000354988,0.000354988
161,3040.25,0.4418,0.3156,0.99537,0.99169,0.98739,0.99411,0.93548,0.41909,0.20741,0.88136,0.000346736,0.000346736,0.000346736
162,3058.99,0.42013,0.30416,0.98711,0.99003,0.98929,0.99396,0.93505,0.4165,0.20643,0.88017,0.000338484,0.000338484,0.000338484
163,3077.74,0.42655,0.30314,0.98723,0.99208,0.98972,0.99427,0.93407,0.41489,0.20765,0.8732,0.000330233,0.000330233,0.000330233
164,3096.49,0.42122,0.29349,0.98839,0.98687,0.98946,0.99424,0.93493,0.41618,0.20945,0.87144,0.000321981,0.000321981,0.000321981
165,3115.21,0.42698,0.30705,0.98571,0.98879,0.99098,0.9944,0.93156,0.42027,0.21105,0.87706,0.000313729,0.000313729,0.000313729
166,3133.95,0.42118,0.30478,0.98459,0.99169,0.99094,0.99458,0.93555,0.40667,0.20835,0.87037,0.000305478,0.000305478,0.000305478
167,3152.69,0.42456,0.31139,0.98748,0.99303,0.98972,0.99425,0.9385,0.40498,0.20983,0.87068,0.000297226,0.000297226,0.000297226
168,3171.53,0.40721,0.29291,0.97713,0.99319,0.98997,0.99453,0.93812,0.40406,0.21454,0.87214,0.000288974,0.000288974,0.000288974
169,3190.26,0.42229,0.3078,0.98757,0.99008,0.98972,0.99444,0.93796,0.40766,0.21037,0.87139,0.000280723,0.000280723,0.000280723
170,3208.99,0.42723,0.31288,0.99039,0.99344,0.98962,0.99442,0.93937,0.40373,0.20625,0.86823,0.000272471,0.000272471,0.000272471
171,3227.8,0.4124,0.29883,0.98429,0.99011,0.98831,0.99454,0.93401,0.41646,0.20791,0.87011,0.00026422,0.00026422,0.00026422
172,3246.57,0.41855,0.3004,0.9866,0.98927,0.98477,0.99453,0.93405,0.41575,0.21121,0.86365,0.000255968,0.000255968,0.000255968
173,3265.35,0.42051,0.30395,0.98979,0.99156,0.98807,0.99451,0.93837,0.40786,0.20486,0.86368,0.000247716,0.000247716,0.000247716
174,3284.1,0.40647,0.29677,0.97421,0.99033,0.99005,0.99457,0.93835,0.40165,0.20727,0.85796,0.000239465,0.000239465,0.000239465
175,3302.88,0.41324,0.29493,0.98078,0.99195,0.98927,0.99458,0.93848,0.39631,0.20406,0.85719,0.000231213,0.000231213,0.000231213
176,3321.61,0.39449,0.28287,0.97158,0.99605,0.98972,0.9947,0.93701,0.4054,0.20075,0.86081,0.000222961,0.000222961,0.000222961
177,3340.33,0.39867,0.28593,0.97629,0.99441,0.98972,0.9947,0.9383,0.40051,0.20087,0.85872,0.00021471,0.00021471,0.00021471
178,3359.09,0.39463,0.28063,0.9733,0.99211,0.99092,0.9946,0.94018,0.39266,0.20246,0.85344,0.000206458,0.000206458,0.000206458
179,3377.99,0.39893,0.28517,0.97469,0.99552,0.98906,0.99465,0.94078,0.39742,0.20485,0.85616,0.000198206,0.000198206,0.000198206
